county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail,provisional,federal
Sussex,"Hampton Twp, District 4",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hampton Twp, District 4",COUNTY COMMISSIONER,,REP,Christopher Carney,381,,,,,
Sussex,"Hampton Twp, District 4",COUNTY COMMISSIONER,,REP,Alan Henderson,284,,,,,
Sussex,"Hampton Twp, District 4",COUNTY COMMISSIONER,,,Write-In Totals,9,,,,,
Sussex,"Hampton Twp, District 4",TOWNSHIP COMMITTEE Hampton Township,,,No Nomination Made,0,,,,,
Sussex,"Hampton Twp, District 4",TOWNSHIP COMMITTEE Hampton Township,,,No Nomination Made,0,,,,,
Sussex,"Hampton Twp, District 4",TOWNSHIP COMMITTEE Hampton Township,,REP,Edward V. Ramm Jr.,427,,,,,
Sussex,"Hampton Twp, District 4",TOWNSHIP COMMITTEE Hampton Township,,REP,Timothy S. Dooley,430,,,,,
Sussex,"Hampton Twp, District 4",TOWNSHIP COMMITTEE Hampton Township,,,Write-In Totals,13,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Kittatinny Rgnl - Hampton Twp,,,Debra C. Cook,420,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Kittatinny Rgnl - Hampton Twp,,,Joseph A. Zweig,429,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Kittatinny Rgnl - Hampton Twp,,,Write-In Totals,4,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Hampton Twp,,,Ellyn R. DeCaro,413,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Hampton Twp,,,Andrea Chletsos,379,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Hampton Twp,,,Joyce H. Anderson,395,,,,,
Sussex,"Hampton Twp, District 4",MEMBERSHIP TO BOE - Hampton Twp,,,Write-In Totals,11,,,,,
Sussex,"Hardyston Twp, District 1",Registered Voters,,,,1555,,,,,
Sussex,"Hardyston Twp, District 1",Ballots Cast,,,,1126,477,433,204,9,3
Sussex,"Hardyston Twp, District 1",President,,DEM,Kamala D. Harris,434,,,,,
Sussex,"Hardyston Twp, District 1",President,,REP,Donald J. Trump,670,,,,,
Sussex,"Hardyston Twp, District 1",President,,CST,Randall A. Terry,2,,,,,
Sussex,"Hardyston Twp, District 1",President,,IND,Robert F. Kennedy Jr.,5,,,,,
Sussex,"Hardyston Twp, District 1",President,,LIB,Chase Oliver,6,,,,,
Sussex,"Hardyston Twp, District 1",President,,GRN,Jill Stein,1,,,,,
Sussex,"Hardyston Twp, District 1",President,,,Claudia De la Cruz,1,,,,,
Sussex,"Hardyston Twp, District 1",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hardyston Twp, District 1",President,,,Joseph Kishore,1,,,,,
Sussex,"Hardyston Twp, District 1",President,,,Write-In Totals,4,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,DEM,Andy Kim,419,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,REP,Curtis Bashaw,657,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,SWP,Joanne Kuniansky,4,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,GRN,Christina Khalil,3,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,,Patricia G. Mooneyham,3,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,LIB,Kenneth R. Kaplan,5,,,,,
Sussex,"Hardyston Twp, District 1",U.S. Senate,,,Write-In Totals,2,,,,,
Sussex,"Hardyston Twp, District 1",U.S.House,5,DEM,Josh Gottheimer,440,,,,,
Sussex,"Hardyston Twp, District 1",U.S.House,5,REP,Mary Jo Guinchard,645,,,,,
Sussex,"Hardyston Twp, District 1",U.S.House,5,GRN,Beau Forte,4,,,,,
Sussex,"Hardyston Twp, District 1",U.S.House,5,LIB,James Tosone,6,,,,,
Sussex,"Hardyston Twp, District 1",U.S.House,5,,Aamir Arif,3,,,,,
Sussex,"Hardyston Twp, District 1",U.S.House,5,,Write-In Totals,2,,,,,
Sussex,"Hardyston Twp, District 1",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,380,,,,,
Sussex,"Hardyston Twp, District 1",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 1",COUNTY COMMISSIONER,,REP,Christopher Carney,640,,,,,
Sussex,"Hardyston Twp, District 1",COUNTY COMMISSIONER,,REP,Alan Henderson,488,,,,,
Sussex,"Hardyston Twp, District 1",COUNTY COMMISSIONER,,,Write-In Totals,8,,,,,
Sussex,"Hardyston Twp, District 1",TOWNSHIP COUNCIL Hardyston Township,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 1",TOWNSHIP COUNCIL Hardyston Township,,REP,Carl B. Miller,809,,,,,
Sussex,"Hardyston Twp, District 1",TOWNSHIP COUNCIL Hardyston Township,,,Write-In Totals,19,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Cynthia Rock,504,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Michael Davina,441,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Kathryn Barta,399,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Write-In Totals,12,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Hardyston Twp,,,"Danuta ""Donna"" Carey",491,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Hardyston Twp,,,"Clarissa ""Robin"" Marotta",479,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Hardyston Twp,,,Ronald Hoffman,439,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Hardyston Twp,,,David Van Ginneken,335,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Hardyston Twp,,,Jeffrey Altieri,382,,,,,
Sussex,"Hardyston Twp, District 1",MEMBERSHIP TO BOE - Hardyston Twp,,,Write-In Totals,27,,,,,
Sussex,"Hardyston Twp, District 2",Registered Voters,,,,943,,,,,
Sussex,"Hardyston Twp, District 2",Ballots Cast,,,,685,262,287,121,10,5
Sussex,"Hardyston Twp, District 2",President,,DEM,Kamala D. Harris,235,,,,,
Sussex,"Hardyston Twp, District 2",President,,REP,Donald J. Trump,436,,,,,
Sussex,"Hardyston Twp, District 2",President,,CST,Randall A. Terry,2,,,,,
Sussex,"Hardyston Twp, District 2",President,,IND,Robert F. Kennedy Jr.,3,,,,,
Sussex,"Hardyston Twp, District 2",President,,LIB,Chase Oliver,1,,,,,
Sussex,"Hardyston Twp, District 2",President,,GRN,Jill Stein,1,,,,,
Sussex,"Hardyston Twp, District 2",President,,,Claudia De la Cruz,2,,,,,
Sussex,"Hardyston Twp, District 2",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hardyston Twp, District 2",President,,,Joseph Kishore,0,,,,,
Sussex,"Hardyston Twp, District 2",President,,,Write-In Totals,2,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,DEM,Andy Kim,225,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,REP,Curtis Bashaw,423,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,GRN,Christina Khalil,1,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,,Patricia G. Mooneyham,2,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,LIB,Kenneth R. Kaplan,4,,,,,
Sussex,"Hardyston Twp, District 2",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Hardyston Twp, District 2",U.S.House,5,DEM,Josh Gottheimer,248,,,,,
Sussex,"Hardyston Twp, District 2",U.S.House,5,REP,Mary Jo Guinchard,399,,,,,
Sussex,"Hardyston Twp, District 2",U.S.House,5,GRN,Beau Forte,4,,,,,
Sussex,"Hardyston Twp, District 2",U.S.House,5,LIB,James Tosone,5,,,,,
Sussex,"Hardyston Twp, District 2",U.S.House,5,,Aamir Arif,1,,,,,
Sussex,"Hardyston Twp, District 2",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Hardyston Twp, District 2",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,202,,,,,
Sussex,"Hardyston Twp, District 2",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 2",COUNTY COMMISSIONER,,REP,Christopher Carney,413,,,,,
Sussex,"Hardyston Twp, District 2",COUNTY COMMISSIONER,,REP,Alan Henderson,311,,,,,
Sussex,"Hardyston Twp, District 2",COUNTY COMMISSIONER,,,Write-In Totals,6,,,,,
Sussex,"Hardyston Twp, District 2",TOWNSHIP COUNCIL Hardyston Township,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 2",TOWNSHIP COUNCIL Hardyston Township,,REP,Carl B. Miller,520,,,,,
Sussex,"Hardyston Twp, District 2",TOWNSHIP COUNCIL Hardyston Township,,,Write-In Totals,8,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Cynthia Rock,332,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Michael Davina,264,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Kathryn Barta,243,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Write-In Totals,3,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Hardyston Twp,,,"Danuta ""Donna"" Carey",302,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Hardyston Twp,,,"Clarissa ""Robin"" Marotta",288,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Hardyston Twp,,,Ronald Hoffman,262,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Hardyston Twp,,,David Van Ginneken,230,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Hardyston Twp,,,Jeffrey Altieri,218,,,,,
Sussex,"Hardyston Twp, District 2",MEMBERSHIP TO BOE - Hardyston Twp,,,Write-In Totals,8,,,,,
Sussex,"Hardyston Twp, District 3",Registered Voters,,,,1049,,,,,
Sussex,"Hardyston Twp, District 3",Ballots Cast,,,,795,165,527,97,6,0
Sussex,"Hardyston Twp, District 3",President,,DEM,Kamala D. Harris,294,,,,,
Sussex,"Hardyston Twp, District 3",President,,REP,Donald J. Trump,483,,,,,
Sussex,"Hardyston Twp, District 3",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Hardyston Twp, District 3",President,,IND,Robert F. Kennedy Jr.,6,,,,,
Sussex,"Hardyston Twp, District 3",President,,LIB,Chase Oliver,2,,,,,
Sussex,"Hardyston Twp, District 3",President,,GRN,Jill Stein,3,,,,,
Sussex,"Hardyston Twp, District 3",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Hardyston Twp, District 3",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hardyston Twp, District 3",President,,,Joseph Kishore,0,,,,,
Sussex,"Hardyston Twp, District 3",President,,,Write-In Totals,2,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,DEM,Andy Kim,293,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,REP,Curtis Bashaw,461,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,SWP,Joanne Kuniansky,3,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,GRN,Christina Khalil,10,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,,Patricia G. Mooneyham,1,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,LIB,Kenneth R. Kaplan,9,,,,,
Sussex,"Hardyston Twp, District 3",U.S. Senate,,,Write-In Totals,0,,,,,
Sussex,"Hardyston Twp, District 3",U.S.House,5,DEM,Josh Gottheimer,315,,,,,
Sussex,"Hardyston Twp, District 3",U.S.House,5,REP,Mary Jo Guinchard,447,,,,,
Sussex,"Hardyston Twp, District 3",U.S.House,5,GRN,Beau Forte,10,,,,,
Sussex,"Hardyston Twp, District 3",U.S.House,5,LIB,James Tosone,4,,,,,
Sussex,"Hardyston Twp, District 3",U.S.House,5,,Aamir Arif,1,,,,,
Sussex,"Hardyston Twp, District 3",U.S.House,5,,Write-In Totals,0,,,,,
Sussex,"Hardyston Twp, District 3",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,266,,,,,
Sussex,"Hardyston Twp, District 3",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 3",COUNTY COMMISSIONER,,REP,Christopher Carney,467,,,,,
Sussex,"Hardyston Twp, District 3",COUNTY COMMISSIONER,,REP,Alan Henderson,376,,,,,
Sussex,"Hardyston Twp, District 3",COUNTY COMMISSIONER,,,Write-In Totals,10,,,,,
Sussex,"Hardyston Twp, District 3",TOWNSHIP COUNCIL Hardyston Township,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 3",TOWNSHIP COUNCIL Hardyston Township,,REP,Carl B. Miller,588,,,,,
Sussex,"Hardyston Twp, District 3",TOWNSHIP COUNCIL Hardyston Township,,,Write-In Totals,19,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Cynthia Rock,389,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Michael Davina,333,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Kathryn Barta,280,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Write-In Totals,13,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Hardyston Twp,,,"Danuta ""Donna"" Carey",307,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Hardyston Twp,,,"Clarissa ""Robin"" Marotta",294,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Hardyston Twp,,,Ronald Hoffman,391,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Hardyston Twp,,,David Van Ginneken,326,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Hardyston Twp,,,Jeffrey Altieri,324,,,,,
Sussex,"Hardyston Twp, District 3",MEMBERSHIP TO BOE - Hardyston Twp,,,Write-In Totals,16,,,,,
Sussex,"Hardyston Twp, District 4",Registered Voters,,,,969,,,,,
Sussex,"Hardyston Twp, District 4",Ballots Cast,,,,708,139,500,59,9,1
Sussex,"Hardyston Twp, District 4",President,,DEM,Kamala D. Harris,225,,,,,
Sussex,"Hardyston Twp, District 4",President,,REP,Donald J. Trump,471,,,,,
Sussex,"Hardyston Twp, District 4",President,,CST,Randall A. Terry,0,,,,,
Sussex,"Hardyston Twp, District 4",President,,IND,Robert F. Kennedy Jr.,4,,,,,
Sussex,"Hardyston Twp, District 4",President,,LIB,Chase Oliver,3,,,,,
Sussex,"Hardyston Twp, District 4",President,,GRN,Jill Stein,1,,,,,
Sussex,"Hardyston Twp, District 4",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Hardyston Twp, District 4",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hardyston Twp, District 4",President,,,Joseph Kishore,0,,,,,
Sussex,"Hardyston Twp, District 4",President,,,Write-In Totals,1,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,DEM,Andy Kim,217,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,REP,Curtis Bashaw,458,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,SWP,Joanne Kuniansky,2,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,GRN,Christina Khalil,4,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,,Patricia G. Mooneyham,3,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,LIB,Kenneth R. Kaplan,4,,,,,
Sussex,"Hardyston Twp, District 4",U.S. Senate,,,Write-In Totals,1,,,,,
Sussex,"Hardyston Twp, District 4",U.S.House,5,DEM,Josh Gottheimer,242,,,,,
Sussex,"Hardyston Twp, District 4",U.S.House,5,REP,Mary Jo Guinchard,439,,,,,
Sussex,"Hardyston Twp, District 4",U.S.House,5,GRN,Beau Forte,4,,,,,
Sussex,"Hardyston Twp, District 4",U.S.House,5,LIB,James Tosone,3,,,,,
Sussex,"Hardyston Twp, District 4",U.S.House,5,,Aamir Arif,1,,,,,
Sussex,"Hardyston Twp, District 4",U.S.House,5,,Write-In Totals,1,,,,,
Sussex,"Hardyston Twp, District 4",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,197,,,,,
Sussex,"Hardyston Twp, District 4",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 4",COUNTY COMMISSIONER,,REP,Christopher Carney,438,,,,,
Sussex,"Hardyston Twp, District 4",COUNTY COMMISSIONER,,REP,Alan Henderson,347,,,,,
Sussex,"Hardyston Twp, District 4",COUNTY COMMISSIONER,,,Write-In Totals,14,,,,,
Sussex,"Hardyston Twp, District 4",TOWNSHIP COUNCIL Hardyston Township,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 4",TOWNSHIP COUNCIL Hardyston Township,,REP,Carl B. Miller,559,,,,,
Sussex,"Hardyston Twp, District 4",TOWNSHIP COUNCIL Hardyston Township,,,Write-In Totals,11,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Cynthia Rock,343,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Michael Davina,317,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Kathryn Barta,270,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Write-In Totals,7,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Hardyston Twp,,,"Danuta ""Donna"" Carey",376,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Hardyston Twp,,,"Clarissa ""Robin"" Marotta",336,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Hardyston Twp,,,Ronald Hoffman,287,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Hardyston Twp,,,David Van Ginneken,213,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Hardyston Twp,,,Jeffrey Altieri,225,,,,,
Sussex,"Hardyston Twp, District 4",MEMBERSHIP TO BOE - Hardyston Twp,,,Write-In Totals,19,,,,,
Sussex,"Hardyston Twp, District 5",Registered Voters,,,,724,,,,,
Sussex,"Hardyston Twp, District 5",Ballots Cast,,,,530,140,322,62,6,0
Sussex,"Hardyston Twp, District 5",President,,DEM,Kamala D. Harris,190,,,,,
Sussex,"Hardyston Twp, District 5",President,,REP,Donald J. Trump,321,,,,,
Sussex,"Hardyston Twp, District 5",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Hardyston Twp, District 5",President,,IND,Robert F. Kennedy Jr.,6,,,,,
Sussex,"Hardyston Twp, District 5",President,,LIB,Chase Oliver,3,,,,,
Sussex,"Hardyston Twp, District 5",President,,GRN,Jill Stein,4,,,,,
Sussex,"Hardyston Twp, District 5",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Hardyston Twp, District 5",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hardyston Twp, District 5",President,,,Joseph Kishore,0,,,,,
Sussex,"Hardyston Twp, District 5",President,,,Write-In Totals,1,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,DEM,Andy Kim,184,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,REP,Curtis Bashaw,311,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,SWP,Joanne Kuniansky,3,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,GRN,Christina Khalil,4,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,,Patricia G. Mooneyham,1,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,LIB,Kenneth R. Kaplan,6,,,,,
Sussex,"Hardyston Twp, District 5",U.S. Senate,,,Write-In Totals,1,,,,,
Sussex,"Hardyston Twp, District 5",U.S.House,5,DEM,Josh Gottheimer,210,,,,,
Sussex,"Hardyston Twp, District 5",U.S.House,5,REP,Mary Jo Guinchard,287,,,,,
Sussex,"Hardyston Twp, District 5",U.S.House,5,GRN,Beau Forte,7,,,,,
Sussex,"Hardyston Twp, District 5",U.S.House,5,LIB,James Tosone,6,,,,,
Sussex,"Hardyston Twp, District 5",U.S.House,5,,Aamir Arif,3,,,,,
Sussex,"Hardyston Twp, District 5",U.S.House,5,,Write-In Totals,2,,,,,
Sussex,"Hardyston Twp, District 5",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,160,,,,,
Sussex,"Hardyston Twp, District 5",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 5",COUNTY COMMISSIONER,,REP,Christopher Carney,302,,,,,
Sussex,"Hardyston Twp, District 5",COUNTY COMMISSIONER,,REP,Alan Henderson,258,,,,,
Sussex,"Hardyston Twp, District 5",COUNTY COMMISSIONER,,,Write-In Totals,6,,,,,
Sussex,"Hardyston Twp, District 5",TOWNSHIP COUNCIL Hardyston Township,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 5",TOWNSHIP COUNCIL Hardyston Township,,REP,Carl B. Miller,400,,,,,
Sussex,"Hardyston Twp, District 5",TOWNSHIP COUNCIL Hardyston Township,,,Write-In Totals,20,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Cynthia Rock,255,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Michael Davina,236,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Kathryn Barta,204,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Write-In Totals,10,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Hardyston Twp,,,"Danuta ""Donna"" Carey",215,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Hardyston Twp,,,"Clarissa ""Robin"" Marotta",195,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Hardyston Twp,,,Ronald Hoffman,276,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Hardyston Twp,,,David Van Ginneken,208,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Hardyston Twp,,,Jeffrey Altieri,207,,,,,
Sussex,"Hardyston Twp, District 5",MEMBERSHIP TO BOE - Hardyston Twp,,,Write-In Totals,14,,,,,
Sussex,"Hardyston Twp, District 6",Registered Voters,,,,791,,,,,
Sussex,"Hardyston Twp, District 6",Ballots Cast,,,,591,196,311,72,11,1
Sussex,"Hardyston Twp, District 6",President,,DEM,Kamala D. Harris,267,,,,,
Sussex,"Hardyston Twp, District 6",President,,REP,Donald J. Trump,308,,,,,
Sussex,"Hardyston Twp, District 6",President,,CST,Randall A. Terry,1,,,,,
Sussex,"Hardyston Twp, District 6",President,,IND,Robert F. Kennedy Jr.,5,,,,,
Sussex,"Hardyston Twp, District 6",President,,LIB,Chase Oliver,2,,,,,
Sussex,"Hardyston Twp, District 6",President,,GRN,Jill Stein,1,,,,,
Sussex,"Hardyston Twp, District 6",President,,,Claudia De la Cruz,0,,,,,
Sussex,"Hardyston Twp, District 6",President,,SWP,Rachele Fruit,0,,,,,
Sussex,"Hardyston Twp, District 6",President,,,Joseph Kishore,0,,,,,
Sussex,"Hardyston Twp, District 6",President,,,Write-In Totals,5,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,DEM,Andy Kim,250,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,REP,Curtis Bashaw,287,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,SWP,Joanne Kuniansky,9,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,GRN,Christina Khalil,6,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,,Patricia G. Mooneyham,3,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,LIB,Kenneth R. Kaplan,7,,,,,
Sussex,"Hardyston Twp, District 6",U.S. Senate,,,Write-In Totals,7,,,,,
Sussex,"Hardyston Twp, District 6",U.S.House,5,DEM,Josh Gottheimer,274,,,,,
Sussex,"Hardyston Twp, District 6",U.S.House,5,REP,Mary Jo Guinchard,278,,,,,
Sussex,"Hardyston Twp, District 6",U.S.House,5,GRN,Beau Forte,5,,,,,
Sussex,"Hardyston Twp, District 6",U.S.House,5,LIB,James Tosone,7,,,,,
Sussex,"Hardyston Twp, District 6",U.S.House,5,,Aamir Arif,2,,,,,
Sussex,"Hardyston Twp, District 6",U.S.House,5,,Write-In Totals,3,,,,,
Sussex,"Hardyston Twp, District 6",COUNTY COMMISSIONER,,DEM,Jason P.L. Boehm,245,,,,,
Sussex,"Hardyston Twp, District 6",COUNTY COMMISSIONER,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 6",COUNTY COMMISSIONER,,REP,Christopher Carney,285,,,,,
Sussex,"Hardyston Twp, District 6",COUNTY COMMISSIONER,,REP,Alan Henderson,217,,,,,
Sussex,"Hardyston Twp, District 6",COUNTY COMMISSIONER,,,Write-In Totals,17,,,,,
Sussex,"Hardyston Twp, District 6",TOWNSHIP COUNCIL Hardyston Township,,,No Nomination Made,0,,,,,
Sussex,"Hardyston Twp, District 6",TOWNSHIP COUNCIL Hardyston Township,,REP,Carl B. Miller,389,,,,,
Sussex,"Hardyston Twp, District 6",TOWNSHIP COUNCIL Hardyston Township,,,Write-In Totals,25,,,,,
Sussex,"Hardyston Twp, District 6",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Cynthia Rock,294,,,,,
Sussex,"Hardyston Twp, District 6",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Michael Davina,222,,,,,
Sussex,"Hardyston Twp, District 6",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Kathryn Barta,215,,,,,
Sussex,"Hardyston Twp, District 6",MEMBERSHIP TO BOE - Wallkill Valley Rgnl - Hardyston Twp,,,Write-In Totals,10,,,,,
Sussex,"Hardyston Twp, District 6",MEMBERSHIP TO BOE - Hardyston Twp,,,"Danuta ""Donna"" Carey",272,,,,,
