county,precinct,office,district,candidate,party,votes,election_day,mail,early_voting,provisional,emergency,federal
Gloucester,Greenwich Township - District 6,Ballots Cast,,,,744,383,239,115,7,0,0
Gloucester,Greenwich Township - District 6,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Greenwich Township - District 6,President,,DONALD J. TRUMP,,450,,,,,,
Gloucester,Greenwich Township - District 6,President,,KAMALA D. HARRIS,,269,,,,,,
Gloucester,Greenwich Township - District 6,President,,ROBERT F. KENNEDY JR.,,9,,,,,,
Gloucester,Greenwich Township - District 6,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Greenwich Township - District 6,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Greenwich Township - District 6,President,,JOSEPH KISHORE,,1,,,,,,
Gloucester,Greenwich Township - District 6,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Greenwich Township - District 6,President,,JILL STEIN,,4,,,,,,
Gloucester,Greenwich Township - District 6,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Greenwich Township - District 6,President,,Write-ins,,2,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,CURTIS BASHAW,,405,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,ANDY KIM,,293,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,CHRISTINA KHALIL,,8,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Greenwich Township - District 6,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Greenwich Township - District 6,U.S. House,2,JEFF VAN DREW,,434,,,,,,
Gloucester,Greenwich Township - District 6,U.S. House,2,JOSEPH F. SALERNO,,278,,,,,,
Gloucester,Greenwich Township - District 6,U.S. House,2,THOMAS CANNAVO,,5,,,,,,
Gloucester,Greenwich Township - District 6,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Greenwich Township - District 6,SHERIFF,,JONATHAN M. SAMMONS,,333,,,,,,
Gloucester,Greenwich Township - District 6,SHERIFF,,CARMEL MORINA,,389,,,,,,
Gloucester,Greenwich Township - District 6,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Greenwich Township - District 6,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,411,,,,,,
Gloucester,Greenwich Township - District 6,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,396,,,,,,
Gloucester,Greenwich Township - District 6,COUNTY COMMISSIONER,,TOM BIANCO,,303,,,,,,
Gloucester,Greenwich Township - District 6,COUNTY COMMISSIONER,,DON HEVERLY,,294,,,,,,
Gloucester,Greenwich Township - District 6,COUNTY COMMISSIONER,,Write-ins,,6,,,,,,
Gloucester,Greenwich Township - District 6,COUNCIL - GREENWICH TOWNSHIP,,LEIGH GARRISON,,363,,,,,,
Gloucester,Greenwich Township - District 6,COUNCIL - GREENWICH TOWNSHIP,,WANDA TRANQUILLO,,401,,,,,,
Gloucester,Greenwich Township - District 6,COUNCIL - GREENWICH TOWNSHIP,,LEE CAMPBELL,,356,,,,,,
Gloucester,Greenwich Township - District 6,COUNCIL - GREENWICH TOWNSHIP,,LANI C. COLE,,312,,,,,,
Gloucester,Greenwich Township - District 6,COUNCIL - GREENWICH TOWNSHIP,,Write-ins,,3,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,"JOHN T. GOETASKI, III",,384,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,MEGHANN S. MYERS,,403,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,ANDREW CHAPKOWSKI,,335,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,MICHAEL HASENPAT,,197,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - 3YR TERM,,Write-ins,,35,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - UNEXP 1YR TERM,,NO PETITION FILED,,0,,,,,,
Gloucester,Greenwich Township - District 6,BOARD OF EDUCATION - GREENWICH - UNEXP 1YR TERM,,Write-ins,,14,,,,,,
Gloucester,Harrison Township - District 1,Registered Voters,,,,1028,,,,,,
Gloucester,Harrison Township - District 1,Ballots Cast,,,,756,391,209,146,10,0,0
Gloucester,Harrison Township - District 1,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Harrison Township - District 1,President,,DONALD J. TRUMP,,388,,,,,,
Gloucester,Harrison Township - District 1,President,,KAMALA D. HARRIS,,351,,,,,,
Gloucester,Harrison Township - District 1,President,,ROBERT F. KENNEDY JR.,,4,,,,,,
Gloucester,Harrison Township - District 1,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Harrison Township - District 1,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Harrison Township - District 1,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Harrison Township - District 1,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Harrison Township - District 1,President,,JILL STEIN,,0,,,,,,
Gloucester,Harrison Township - District 1,President,,CHASE OLIVER,,2,,,,,,
Gloucester,Harrison Township - District 1,President,,Write-ins,,3,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,CURTIS BASHAW,,376,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,ANDY KIM,,345,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,JOANNE KUNIANSKY,,3,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,CHRISTINA KHALIL,,1,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Harrison Township - District 1,U.S. Senate,,Write-ins,,1,,,,,,
Gloucester,Harrison Township - District 1,U.S. House,2,JEFF VAN DREW,,385,,,,,,
Gloucester,Harrison Township - District 1,U.S. House,2,JOSEPH F. SALERNO,,339,,,,,,
Gloucester,Harrison Township - District 1,U.S. House,2,THOMAS CANNAVO,,1,,,,,,
Gloucester,Harrison Township - District 1,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 1,SHERIFF,,JONATHAN M. SAMMONS,,385,,,,,,
Gloucester,Harrison Township - District 1,SHERIFF,,CARMEL MORINA,,336,,,,,,
Gloucester,Harrison Township - District 1,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 1,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,394,,,,,,
Gloucester,Harrison Township - District 1,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,382,,,,,,
Gloucester,Harrison Township - District 1,COUNTY COMMISSIONER,,TOM BIANCO,,332,,,,,,
Gloucester,Harrison Township - District 1,COUNTY COMMISSIONER,,DON HEVERLY,,328,,,,,,
Gloucester,Harrison Township - District 1,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 1,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,ADAM WINGATE,,497,,,,,,
Gloucester,Harrison Township - District 1,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,THOMAS COAKLEY,,490,,,,,,
Gloucester,Harrison Township - District 1,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,Write-ins,,42,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,SCOTT MUSCARELLA,,460,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,FENU CHERIAN,,420,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,Write-ins,,46,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,COLLEEN KENDRICK,,332,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ERIC KELLER,,258,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,TRISHA DELLOIACONO,,289,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,STACEY MUSCARELLA,,272,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ALEXIS RUBINO-OFCHINICK,,226,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,JOHN CAVANAUGH,,245,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - 3YR TERM,,Write-ins,,10,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,TIM BAST,,374,,,,,,
Gloucester,Harrison Township - District 1,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,Write-ins,,12,,,,,,
Gloucester,Harrison Township - District 2,Registered Voters,,,,1170,,,,,,
Gloucester,Harrison Township - District 2,Ballots Cast,,,,897,519,167,194,17,0,0
Gloucester,Harrison Township - District 2,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Harrison Township - District 2,President,,DONALD J. TRUMP,,509,,,,,,
Gloucester,Harrison Township - District 2,President,,KAMALA D. HARRIS,,360,,,,,,
Gloucester,Harrison Township - District 2,President,,ROBERT F. KENNEDY JR.,,5,,,,,,
Gloucester,Harrison Township - District 2,President,,RACHELE FRUIT,,1,,,,,,
Gloucester,Harrison Township - District 2,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Harrison Township - District 2,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Harrison Township - District 2,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Harrison Township - District 2,President,,JILL STEIN,,4,,,,,,
Gloucester,Harrison Township - District 2,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Harrison Township - District 2,President,,Write-ins,,6,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,CURTIS BASHAW,,490,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,ANDY KIM,,352,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,CHRISTINA KHALIL,,5,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,KENNETH R. KAPLAN,,4,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Harrison Township - District 2,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 2,U.S. House,2,JEFF VAN DREW,,514,,,,,,
Gloucester,Harrison Township - District 2,U.S. House,2,JOSEPH F. SALERNO,,336,,,,,,
Gloucester,Harrison Township - District 2,U.S. House,2,THOMAS CANNAVO,,6,,,,,,
Gloucester,Harrison Township - District 2,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 2,SHERIFF,,JONATHAN M. SAMMONS,,510,,,,,,
Gloucester,Harrison Township - District 2,SHERIFF,,CARMEL MORINA,,332,,,,,,
Gloucester,Harrison Township - District 2,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 2,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,515,,,,,,
Gloucester,Harrison Township - District 2,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,503,,,,,,
Gloucester,Harrison Township - District 2,COUNTY COMMISSIONER,,TOM BIANCO,,329,,,,,,
Gloucester,Harrison Township - District 2,COUNTY COMMISSIONER,,DON HEVERLY,,329,,,,,,
Gloucester,Harrison Township - District 2,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 2,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,ADAM WINGATE,,610,,,,,,
Gloucester,Harrison Township - District 2,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,THOMAS COAKLEY,,621,,,,,,
Gloucester,Harrison Township - District 2,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,Write-ins,,35,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,SCOTT MUSCARELLA,,546,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,FENU CHERIAN,,482,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,Write-ins,,34,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,COLLEEN KENDRICK,,337,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ERIC KELLER,,284,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,TRISHA DELLOIACONO,,299,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,STACEY MUSCARELLA,,368,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ALEXIS RUBINO-OFCHINICK,,290,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,JOHN CAVANAUGH,,325,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - 3YR TERM,,Write-ins,,6,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,TIM BAST,,445,,,,,,
Gloucester,Harrison Township - District 2,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,Write-ins,,9,,,,,,
Gloucester,Harrison Township - District 3,Registered Voters,,,,1084,,,,,,
Gloucester,Harrison Township - District 3,Ballots Cast,,,,799,453,175,156,15,0,0
Gloucester,Harrison Township - District 3,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Harrison Township - District 3,President,,DONALD J. TRUMP,,386,,,,,,
Gloucester,Harrison Township - District 3,President,,KAMALA D. HARRIS,,390,,,,,,
Gloucester,Harrison Township - District 3,President,,ROBERT F. KENNEDY JR.,,5,,,,,,
Gloucester,Harrison Township - District 3,President,,RACHELE FRUIT,,1,,,,,,
Gloucester,Harrison Township - District 3,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Harrison Township - District 3,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Harrison Township - District 3,President,,CLAUDIA DE LA CRUZ,,1,,,,,,
Gloucester,Harrison Township - District 3,President,,JILL STEIN,,2,,,,,,
Gloucester,Harrison Township - District 3,President,,CHASE OLIVER,,3,,,,,,
Gloucester,Harrison Township - District 3,President,,Write-ins,,5,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,CURTIS BASHAW,,374,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,ANDY KIM,,401,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,JOANNE KUNIANSKY,,0,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,CHRISTINA KHALIL,,4,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,KENNETH R. KAPLAN,,3,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Harrison Township - District 3,U.S. Senate,,Write-ins,,2,,,,,,
Gloucester,Harrison Township - District 3,U.S. House,2,JEFF VAN DREW,,397,,,,,,
Gloucester,Harrison Township - District 3,U.S. House,2,JOSEPH F. SALERNO,,383,,,,,,
Gloucester,Harrison Township - District 3,U.S. House,2,THOMAS CANNAVO,,5,,,,,,
Gloucester,Harrison Township - District 3,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 3,SHERIFF,,JONATHAN M. SAMMONS,,397,,,,,,
Gloucester,Harrison Township - District 3,SHERIFF,,CARMEL MORINA,,382,,,,,,
Gloucester,Harrison Township - District 3,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Harrison Township - District 3,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,413,,,,,,
Gloucester,Harrison Township - District 3,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,407,,,,,,
Gloucester,Harrison Township - District 3,COUNTY COMMISSIONER,,TOM BIANCO,,372,,,,,,
Gloucester,Harrison Township - District 3,COUNTY COMMISSIONER,,DON HEVERLY,,362,,,,,,
Gloucester,Harrison Township - District 3,COUNTY COMMISSIONER,,Write-ins,,4,,,,,,
Gloucester,Harrison Township - District 3,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,ADAM WINGATE,,549,,,,,,
Gloucester,Harrison Township - District 3,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,THOMAS COAKLEY,,554,,,,,,
Gloucester,Harrison Township - District 3,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,Write-ins,,41,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,SCOTT MUSCARELLA,,527,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,FENU CHERIAN,,481,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,Write-ins,,31,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,COLLEEN KENDRICK,,310,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ERIC KELLER,,249,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,TRISHA DELLOIACONO,,265,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,STACEY MUSCARELLA,,361,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ALEXIS RUBINO-OFCHINICK,,307,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,JOHN CAVANAUGH,,340,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - 3YR TERM,,Write-ins,,4,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,TIM BAST,,459,,,,,,
Gloucester,Harrison Township - District 3,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,Write-ins,,11,,,,,,
Gloucester,Harrison Township - District 4,Registered Voters,,,,1319,,,,,,
Gloucester,Harrison Township - District 4,Ballots Cast,,,,1036,676,168,178,14,0,0
Gloucester,Harrison Township - District 4,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Harrison Township - District 4,President,,DONALD J. TRUMP,,651,,,,,,
Gloucester,Harrison Township - District 4,President,,KAMALA D. HARRIS,,355,,,,,,
Gloucester,Harrison Township - District 4,President,,ROBERT F. KENNEDY JR.,,11,,,,,,
Gloucester,Harrison Township - District 4,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Harrison Township - District 4,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Harrison Township - District 4,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Harrison Township - District 4,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Harrison Township - District 4,President,,JILL STEIN,,4,,,,,,
Gloucester,Harrison Township - District 4,President,,CHASE OLIVER,,2,,,,,,
Gloucester,Harrison Township - District 4,President,,Write-ins,,5,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,CURTIS BASHAW,,620,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,ANDY KIM,,350,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,CHRISTINA KHALIL,,2,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,PATRICIA G. MOONEYHAM,,2,,,,,,
Gloucester,Harrison Township - District 4,U.S. Senate,,Write-ins,,5,,,,,,
Gloucester,Harrison Township - District 4,U.S. House,2,JEFF VAN DREW,,648,,,,,,
Gloucester,Harrison Township - District 4,U.S. House,2,JOSEPH F. SALERNO,,338,,,,,,
Gloucester,Harrison Township - District 4,U.S. House,2,THOMAS CANNAVO,,3,,,,,,
Gloucester,Harrison Township - District 4,U.S. House,2,Write-ins,,1,,,,,,
Gloucester,Harrison Township - District 4,SHERIFF,,JONATHAN M. SAMMONS,,640,,,,,,
Gloucester,Harrison Township - District 4,SHERIFF,,CARMEL MORINA,,339,,,,,,
Gloucester,Harrison Township - District 4,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Harrison Township - District 4,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,642,,,,,,
Gloucester,Harrison Township - District 4,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,650,,,,,,
Gloucester,Harrison Township - District 4,COUNTY COMMISSIONER,,TOM BIANCO,,327,,,,,,
Gloucester,Harrison Township - District 4,COUNTY COMMISSIONER,,DON HEVERLY,,330,,,,,,
Gloucester,Harrison Township - District 4,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Harrison Township - District 4,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,ADAM WINGATE,,778,,,,,,
Gloucester,Harrison Township - District 4,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,THOMAS COAKLEY,,768,,,,,,
Gloucester,Harrison Township - District 4,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,Write-ins,,31,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,SCOTT MUSCARELLA,,670,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,FENU CHERIAN,,582,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,Write-ins,,33,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,COLLEEN KENDRICK,,351,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ERIC KELLER,,289,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,TRISHA DELLOIACONO,,284,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,STACEY MUSCARELLA,,495,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,ALEXIS RUBINO-OFCHINICK,,423,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,JOHN CAVANAUGH,,469,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - 3YR TERM,,Write-ins,,12,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,TIM BAST,,641,,,,,,
Gloucester,Harrison Township - District 4,BOARD OF EDUCATION - HARRISON - UNEXP 1YR TERM,,Write-ins,,16,,,,,,
Gloucester,Harrison Township - District 5,Registered Voters,,,,1332,,,,,,
Gloucester,Harrison Township - District 5,Ballots Cast,,,,978,563,197,204,14,0,0
Gloucester,Harrison Township - District 5,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Harrison Township - District 5,President,,DONALD J. TRUMP,,526,,,,,,
Gloucester,Harrison Township - District 5,President,,KAMALA D. HARRIS,,422,,,,,,
Gloucester,Harrison Township - District 5,President,,ROBERT F. KENNEDY JR.,,10,,,,,,
Gloucester,Harrison Township - District 5,President,,RACHELE FRUIT,,1,,,,,,
Gloucester,Harrison Township - District 5,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Harrison Township - District 5,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Harrison Township - District 5,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Harrison Township - District 5,President,,JILL STEIN,,2,,,,,,
Gloucester,Harrison Township - District 5,President,,CHASE OLIVER,,4,,,,,,
Gloucester,Harrison Township - District 5,President,,Write-ins,,3,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,CURTIS BASHAW,,502,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,ANDY KIM,,422,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,JOANNE KUNIANSKY,,2,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,CHRISTINA KHALIL,,4,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,KENNETH R. KAPLAN,,4,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,PATRICIA G. MOONEYHAM,,3,,,,,,
Gloucester,Harrison Township - District 5,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 5,U.S. House,2,JEFF VAN DREW,,528,,,,,,
Gloucester,Harrison Township - District 5,U.S. House,2,JOSEPH F. SALERNO,,408,,,,,,
Gloucester,Harrison Township - District 5,U.S. House,2,THOMAS CANNAVO,,5,,,,,,
Gloucester,Harrison Township - District 5,U.S. House,2,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 5,SHERIFF,,JONATHAN M. SAMMONS,,523,,,,,,
Gloucester,Harrison Township - District 5,SHERIFF,,CARMEL MORINA,,412,,,,,,
Gloucester,Harrison Township - District 5,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 5,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,536,,,,,,
Gloucester,Harrison Township - District 5,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,525,,,,,,
Gloucester,Harrison Township - District 5,COUNTY COMMISSIONER,,TOM BIANCO,,399,,,,,,
Gloucester,Harrison Township - District 5,COUNTY COMMISSIONER,,DON HEVERLY,,392,,,,,,
Gloucester,Harrison Township - District 5,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Harrison Township - District 5,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,ADAM WINGATE,,671,,,,,,
Gloucester,Harrison Township - District 5,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,THOMAS COAKLEY,,678,,,,,,
Gloucester,Harrison Township - District 5,TOWNSHIP COMMITTEE - HARRISON TOWNSHIP,,Write-ins,,25,,,,,,
Gloucester,Harrison Township - District 5,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,SCOTT MUSCARELLA,,629,,,,,,
Gloucester,Harrison Township - District 5,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,FENU CHERIAN,,535,,,,,,
Gloucester,Harrison Township - District 5,BOARD OF EDUCATION - CLEARVIEW REG - HARRISON - 3YR TERM,,Write-ins,,21,,,,,,
Gloucester,Harrison Township - District 5,BOARD OF EDUCATION - HARRISON - 3YR TERM,,COLLEEN KENDRICK,,367,,,,,,
